image,compression,psnr,depth,gates,inner_product
camera,1024,16.999654304036614,871,1385,0.9288958046431449
camera,512,17.55506525619386,1123,1638,0.9372838509326684
camera,256,18.406458226512825,1631,2150,0.948293001076916
camera,128,19.64652753686897,2651,3171,0.9610195261301021
camera,64,20.698795463528036,4635,5159,0.9693426162005343
camera,32,22.073010088706965,8787,9312,0.9776164414662398
camera,16,23.23482645400577,16874,17403,0.9828516002423998
camera,8,25.314168287238445,33185,33715,0.9893556585774771
camera,4,27.404209614143564,66119,66653,0.9934209337213318
camera,2,31.36464187164663,131334,131848,0.9973667373561765
bird,1024,20.080661871522278,856,1370,0.9644392430641615
bird,512,21.96882412204959,1123,1638,0.9769026003545719
bird,256,23.065269410101294,1631,2150,0.9820390998555527
bird,128,25.178046026178862,2613,3133,0.9889395608198862
bird,64,27.07194092219432,4695,5219,0.9928476563802673
bird,32,29.34830875781255,8787,9312,0.9957720259701449
bird,16,32.100607091281304,16840,17369,0.9977637503149686
bird,8,35.16971710352031,33355,33885,0.9989077051266526
bird,4,39.05182825254953,66119,66653,0.9995639891143193
bird,2,43.81577210676137,131651,132165,0.9998669561364877
peppers,1024,15.55705429213383,863,1377,0.8749109733451471
peppers,512,16.866666452272014,1123,1638,0.9066823735645436
peppers,256,18.643798584756798,1631,2150,0.9375193630355867
peppers,128,20.415734070922554,2611,3131,0.9582302423558177
peppers,64,22.695310129256264,4695,5219,0.9751759326505638
peppers,32,24.794212339529903,8787,9312,0.9846566732770433
peppers,16,27.50646945820774,16975,17504,0.9917702042021078
peppers,8,29.849068729534032,33207,33737,0.995206490634401
peppers,4,34.02300039280527,66119,66653,0.9981788220116053
peppers,2,36.91475078089135,131360,131874,0.9990761180891061
